epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1754.25,0.38258,0.54001,0.82515,0.92002,0.91748,0.97312,0.91719,0.36145,0.57856,0.78376,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,1805.84,0.38351,0.52445,0.83708,0.92116,0.93184,0.97579,0.92102,0.35122,0.5605,0.78211,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,1874.34,0.37041,0.52315,0.82621,0.91039,0.93495,0.97676,0.92148,0.34813,0.54658,0.78255,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,1946.27,0.37589,0.52468,0.82834,0.88265,0.96908,0.97683,0.92752,0.34062,0.53358,0.78116,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,1998.77,0.3792,0.52584,0.8305,0.89657,0.95729,0.97761,0.92352,0.34926,0.53847,0.77891,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,2050.92,0.36443,0.50363,0.8312,0.92161,0.93865,0.97792,0.92292,0.34537,0.52432,0.78131,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,2102.9,0.36097,0.48654,0.82559,0.94485,0.92025,0.97909,0.92428,0.3451,0.52334,0.78484,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,2166.98,0.36388,0.5077,0.82088,0.90939,0.95706,0.9782,0.92749,0.34065,0.52151,0.78586,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,2222.09,0.36469,0.49855,0.8276,0.90733,0.96319,0.97677,0.92533,0.34133,0.51893,0.78743,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,2278.94,0.35891,0.48067,0.82132,0.89769,0.97546,0.97433,0.92603,0.34075,0.51828,0.78702,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,2346.85,0.35354,0.46964,0.82014,0.91327,0.96899,0.97816,0.93059,0.34286,0.50819,0.7862,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,2399.85,0.34167,0.56576,0.80289,0.95084,0.94928,0.9828,0.93595,0.34429,0.49937,0.78852,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2453.25,0.34067,0.54119,0.81347,0.95592,0.93124,0.98272,0.93579,0.34781,0.51181,0.78992,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2530.41,0.33221,0.50823,0.79942,0.94848,0.93865,0.98379,0.9338,0.35299,0.51439,0.79045,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2580.82,0.33995,0.52809,0.8102,0.95597,0.93244,0.98352,0.93338,0.35625,0.50909,0.79021,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2630.09,0.34249,0.48381,0.80565,0.9665,0.92638,0.98161,0.92798,0.35439,0.52175,0.78971,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,2693.13,0.32593,0.48723,0.80384,0.96486,0.93252,0.98002,0.92779,0.35178,0.52076,0.78718,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,2752.94,0.335,0.48385,0.80525,0.95969,0.93252,0.97983,0.92821,0.35135,0.51814,0.78681,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,2812.14,0.32694,0.48309,0.80186,0.96178,0.9263,0.97882,0.92952,0.34411,0.51211,0.78636,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,2869.66,0.33303,0.50809,0.81373,0.94762,0.93865,0.97862,0.92672,0.34187,0.50947,0.78792,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,2959.78,0.32944,0.46721,0.79652,0.95021,0.93669,0.97867,0.92723,0.34072,0.51048,0.78807,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
